,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Shiga,325,157,373,800,87,113,541,1045,1095,2683,3789,2319,1099,4950,546,1247,520,2592,347,527,2570,2342,10943,10088,64002,5878,15372,11988,2368,402,129,348,3169,2625,1021,1624,1172,709,148,2815,697,188,277,1069,331,565,53
Kyoto,294,2,58,137,3,181,140,567,237,747,4111,1430,2432,2304,302,643,685,1289,251,481,702,4794,8591,1797,5607,123108,23546,17693,2223,998,305,184,1475,1637,550,126,640,437,143,1398,46,207,220,160,227,139,26
Osaka,1960,293,483,2306,386,652,2098,8494,3818,4307,26824,8196,10779,10043,4135,6208,4895,4241,1054,12643,8539,7781,54946,10277,26251,31383,504776,82990,33489,12390,1526,1387,12857,12149,2821,2389,5198,4932,1413,13049,2617,1736,1188,1205,789,694,493
Hyogo,1038,243,542,2290,149,743,1404,5214,1745,2100,8115,5714,8673,5095,3238,1712,3189,3606,236,1810,3701,5818,23966,10183,20117,18664,104542,390912,13436,4608,2843,2563,18935,21817,4353,1517,4211,5036,1407,11314,3031,818,955,2412,894,632,123
Nara,306,3,10,666,23,9,83,253,425,405,1254,275,349,426,147,60,101,284,21,88,372,2267,1688,4548,1078,3688,7511,3437,26824,312,5,27,658,416,68,76,55,45,58,377,204,10,16,72,33,40,1
Wakayama,463,167,42,273,6,40,224,456,211,188,793,1643,2314,997,312,247,681,72,5,91,720,322,3702,2134,443,1268,20772,7070,2627,61813,144,3,788,1296,85,493,837,45,28,1937,181,57,729,10,9,597,0
Tottori,9,0,0,59,3,74,18,217,54,237,365,46,499,301,39,211,32,207,26,192,658,715,1693,193,656,1501,3801,3769,281,81,35326,1515,1582,613,234,11,262,9,54,470,296,22,16,18,68,270,3
Shimane,4,0,2,60,1,1,2,29,46,0,72,126,371,279,1445,90,6,63,0,2,102,200,414,545,411,136,2114,3805,87,17,16947,62852,2195,3847,3133,113,198,247,63,219,3,4,139,502,0,30,0
Okayama,257,52,59,247,22,65,266,2030,1169,542,2598,1466,12311,3553,1269,1063,344,642,79,411,1282,3281,9748,1963,1887,2277,16345,28351,1134,1390,6913,4118,342625,63627,7895,2235,9896,4617,988,2614,1092,344,1581,635,392,555,13
Hiroshima,141,58,77,429,97,149,173,526,236,386,1506,720,554,1828,227,96,1004,88,73,1848,1797,1642,8380,608,1421,638,6841,5642,216,372,1892,3020,15524,308137,8211,960,1608,1416,273,7292,304,258,359,317,218,190,19
