,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
Yamaguchi,54,11,5,176,6,79,1342,647,186,427,1015,912,1653,1444,234,300,250,474,72,71,262,1350,6094,3092,1158,432,5515,8101,465,1988,2356,3889,3791,19659,200026,747,1881,3890,264,19133,1901,960,2294,2723,1550,554,2
Tokushima,86,19,13,63,22,6,31,389,256,76,678,1019,328,591,23,134,35,280,4,548,505,724,1326,460,893,738,5952,9195,172,488,72,33,1733,790,97,48824,3138,5312,1239,1311,95,19,10,18,11,25,6
Kagawa,45,26,67,135,4,51,49,332,4793,186,2276,547,930,593,281,156,1023,611,68,625,228,1671,2133,1394,2862,1291,5284,4021,171,3140,62,374,5202,3166,646,12409,84489,12579,3585,1802,523,25,211,119,353,448,280
Ehime,240,7,472,306,208,559,1180,2922,1251,1040,9255,617,927,2065,127,1710,362,775,76,457,645,2322,7138,228,1778,2931,26986,16462,551,106,521,502,3303,11057,1313,2919,7665,161432,4786,3650,762,43,1092,226,521,844,0
Kochi,203,0,3,29,0,78,30,11,15,12,357,127,630,78,557,88,8,6,0,74,6,2321,641,24,21,65,779,336,2,21,1,9,1017,179,425,1054,820,987,84325,122,41,19,3,31,44,70,0
Fukuoka,284,133,529,410,46,34,194,688,428,1195,2163,1119,2341,2427,345,473,147,140,142,337,442,3839,12152,1572,1391,7424,6956,5255,315,402,480,3496,6063,8909,19588,355,1459,2319,659,787156,74595,19514,38422,23179,7497,13111,658
Saga,30,14,0,93,2,7,8,267,273,141,753,332,264,865,5,6,20,24,6,28,33,337,1492,252,175,444,821,1146,19,13,3,37,236,730,1078,12,54,71,2,26668,51482,7152,4205,2323,951,1356,122
Nagasaki,50,1815,13,402,8,2,28,314,20,25,218,162,559,426,24,51,124,9,2,17,74,44,350,79,160,282,1615,802,26,98,13,4,246,469,160,52,26,19,10,4000,4487,57068,1449,1061,331,1633,0
Kumamoto,23,7,11,35,1,28,54,78,65,874,1145,41,1459,1257,31,16,20,388,56,40,156,1684,2772,86,120,186,1686,842,12,142,9,23,1604,2012,332,59,24,87,7,25618,3068,3695,154354,3465,11737,6651,73
Oita,209,1,0,285,1,0,27,55,44,19,875,319,747,365,9,124,48,115,20,6,19,62,1554,531,635,59,2049,912,84,88,4,377,403,802,2477,190,78,566,538,21984,2731,1131,8352,84892,4256,621,4
Miyazaki,271,4,37,49,1,1,62,149,157,349,212,927,463,627,50,13,66,52,5,32,132,1406,1376,155,246,156,2203,2740,9,43,136,13,406,916,948,166,34,305,21,5774,1442,1291,1339,605,117846,12126,89
Kagoshima,10,3,23,16,2,3,34,96,74,284,690,286,918,1364,36,143,45,17,3,17,88,401,2434,95,87,139,2138,1067,61,77,3,12,823,770,136,31,299,23,1087,8463,768,160,5413,363,7952,155179,2929
Okinawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1723,0,0,0,0,0,0,0,0,0,0,0,0,4,161982
